table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
AGE_WEIGHT,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
AGE_WEIGHT,GENDER,,,YES,varchar,varchar(10),,,
AGE_WEIGHT,AGE,,,NO,int,int(10) unsigned,,,
AGE_WEIGHT,MIN,,,NO,double,double,,,
AGE_WEIGHT,MAX,,,NO,double,double,,,
AGE_WEIGHT,COUNTRY,,,YES,varchar,varchar(20),,,
ALLERGY_CHECKER,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ALLERGY_CHECKER,UUID,,,NO,varchar,varchar(36),,,
ALLERGY_CHECKER,ASSESSMENT_RESULT,,,YES,varchar,varchar(200),,,
ALLERGY_CHECKER,PAYLOAD,,,YES,json,json,,,
ALLERGY_CHECKER,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
ALLERGY_CHECKER,GENERATED_USER_ID,,,YES,varchar,varchar(36),,,
ALLERGY_QUESTIONS,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ALLERGY_QUESTIONS,TYPE,,FAMILY,YES,varchar,varchar(20),,,
ALLERGY_QUESTIONS,VARIABLE_NAME,,,NO,varchar,varchar(50),,,
ALLERGY_QUESTIONS,QUESTION,,,NO,varchar,varchar(255),,,
ALLERGY_QUESTIONS,DOMAINS,,,YES,varchar,varchar(255),,,
ALLERGY_QUESTIONS,DATA_TYPE,,,YES,varchar,varchar(255),,,
ALLERGY_QUESTIONS,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BFAI_TRACKING,UUID,MUL,,NO,varchar,varchar(36),,,
BFAI_TRACKING,STATUS,,,YES,varchar,varchar(50),,,
BFAI_TRACKING,REASON_CODE,,,YES,varchar,varchar(50),,,
BFAI_TRACKING,REASON_TEXT,,,YES,varchar,varchar(5000),,,
BFAI_TRACKING,DURATION,,,YES,float,"float(8,2)",,,
BFAI_TRACKING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BFAI_TRACKING,UPDATED_AT,,,YES,timestamp,timestamp,,,
BFAI_TRACKING,COMPLETED_AT,,,YES,timestamp,timestamp,,,
BURP_RECOGNITION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
BURP_RECOGNITION,UUID,,,NO,varchar,varchar(36),,,
BURP_RECOGNITION,PHOTO_URL,,,NO,varchar,varchar(255),,,
BURP_RECOGNITION,BOTTLE_PREDICTION,,,NO,json,json,,,
BURP_RECOGNITION,AI_VOLUME,,,NO,int,int(11),,,
BURP_RECOGNITION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BURP_RECOGNITION,GENERATED_USER_ID,,,YES,varchar,varchar(36),,,
CHILD_LENGTH_RECOGNITION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_LENGTH_RECOGNITION,UUID,,,NO,varchar,varchar(36),,,
CHILD_LENGTH_RECOGNITION,PHOTO_URL,,,NO,varchar,varchar(255),,,
CHILD_LENGTH_RECOGNITION,VERSION,,v1.0,YES,varchar,varchar(10),,,
CHILD_LENGTH_RECOGNITION,RESULT,,,NO,json,json,,,
CHILD_LENGTH_RECOGNITION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_LENGTH_RECOGNITION,OVERRIDE,,,YES,float,float,,,
CHILD_LENGTH_RECOGNITION,CHILD_AGE_IN_MONTHS,,,YES,float,float,,,
CHILD_LENGTH_RECOGNITION,GENERATED_USER_ID,,,YES,varchar,varchar(36),,,
DANONE_FOOD_GROUP,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
DANONE_FOOD_GROUP,NAME,UNI,,NO,varchar,varchar(100),,,
DANONE_FOOD_GROUP,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
ECZEMA_DECISION_MATRIX,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ECZEMA_DECISION_MATRIX,PETSYN,,,NO,varchar,varchar(36),,,
ECZEMA_DECISION_MATRIX,SBS_ECZEMA,,,NO,varchar,varchar(255),,,
