table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
ACTIVITY_TYPE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ACTIVITY_TYPE,NAME,,,YES,varchar,varchar(45),,,
ACTIVITY_TYPE,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
ARTICLE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ARTICLE,ARTICLEID,UNI,,NO,int,int(11),,,
ARTICLE,TITLE,,,NO,varchar,varchar(150),,,
ARTICLE,FEATURED_IMG,,,NO,longtext,longtext,,,
ARTICLE,DESCRIPTION,,,NO,longtext,longtext,,,
ARTICLE,URL,,,NO,varchar,varchar(250),,,
ARTICLE,COUNTRY_CODE,MUL,,NO,varchar,varchar(3),,COUNTRY,CODE
ARTICLE,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
ARTICLE_TAG,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ARTICLE_TAG,NAME,,,NO,varchar,varchar(150),,,
ARTICLE_TAG,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
ARTICLE_TAG_RELATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
ARTICLE_TAG_RELATION,ARTICLEID,MUL,,NO,int,int(10) unsigned,,ARTICLE,ID
ARTICLE_TAG_RELATION,TAGID,MUL,,NO,int,int(10) unsigned,,ARTICLE_TAG,ID
ARTICLE_TAG_RELATION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BOTTLE_FEEDING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
BOTTLE_FEEDING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
BOTTLE_FEEDING,FEEDING_FOOD_DIARYID,MUL,,NO,int,int(10) unsigned,,FEEDING,ID
BOTTLE_FEEDING,CONSUMED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BOTTLE_FEEDING,FORMULA_BRANDID,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,FORMULA_BRANDNAME,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,FORMULA_BRANDQUANTITY,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,CONVERTED_SI_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_PREPARED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CONVERTED_SI_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_REMAINING_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CONVERTED_SI_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_CONSUMED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_PREPARED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_REMAINING_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_CONSUMED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BOTTLE_FEEDING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
BREAST_FEEDING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
BREAST_FEEDING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
BREAST_FEEDING,LEFT_SIDE,,,YES,time,time,,,
BREAST_FEEDING,RIGHT_SIDE,,,YES,time,time,,,
BREAST_FEEDING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BREAST_FEEDING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHANGE_LOG,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHANGE_LOG,DATA_BEFORE,,,YES,json,json,,,
CHANGE_LOG,DATA_AFTER,,,NO,json,json,,,
CHANGE_LOG,ACTION,,,YES,varchar,varchar(100),,,
