table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
BOTTLE_FEEDING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
BOTTLE_FEEDING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
BOTTLE_FEEDING,FEEDING_FOOD_DIARYID,MUL,,NO,int,int(10) unsigned,,FEEDING,ID
BOTTLE_FEEDING,CONSUMED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BOTTLE_FEEDING,FORMULA_BRANDID,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,FORMULA_BRANDNAME,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,FORMULA_BRANDQUANTITY,,,NO,varchar,varchar(255),,,
BOTTLE_FEEDING,CONVERTED_SI_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_PREPARED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CONVERTED_SI_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_REMAINING_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CONVERTED_SI_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,MEASURE_CONSUMED_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_PREPARED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_PREPARED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_REMAINING_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_REMAINING_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,ACTUAL_CONSUMED_VALUE,,,NO,float,"float(8,2)",,,
BOTTLE_FEEDING,ACTUAL_CONSUMED_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
BOTTLE_FEEDING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
BOTTLE_FEEDING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
